Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-02-2023,Manipur,14,Tengnoupal,716,29,38,52,5337,0,358,147,377,377,227,3586,2417,915,3529,57,6716,12,581,1022,740,3161,1840,818,207,279,2,10,1394,1013
01-04-2023,Odisha,21,Kendrapara,360,805,903,1303,118900,0,2147,329,2134,2147,4185,57206,47771,2322,56773,433,120147,501,10524,21747,15614,50513,24375,2628,4292,6693,9,84,6187,5915
01-07-2023,Sikkim,11,Soreng,742,137,146,131,3859,0,154,153,154,0,218,1924,1661,489,1157,767,4303,11,150,164,124,920,646,482,218,282,1,6,830,806
01-04-2023,Haryana,6,Hisar,63,724,862,736,109256,0,1731,1221,1678,1739,5402,60320,50277,5377,55763,4557,132895,719,4945,3587,2616,16312,8751,5164,8137,8759,10,69,26819,21627
01-07-2023,Mizoram,15,Kolasib,263,61,71,72,9866,0,137,92,137,0,399,4430,4227,599,3949,481,10143,477,891,1094,886,3412,1635,541,370,717,2,6,4843,4793
01-02-2023,West Bengal,19,Darjeeling,309,399,558,336,99982,0,3246,2374,2754,3252,6455,49150,38984,14314,48191,959,106962,8429,6751,7621,6827,34569,20991,13370,6694,5679,18,137,37702,27441
01-06-2023,Jharkhand,20,Garhwa,328,276,452,652,50666,0,1281,813,1312,1331,4665,73253,70088,5350,69780,3473,166805,608,20958,7334,13811,46902,12133,4799,6990,11809,9,54,6080,5918
01-04-2023,Delhi,7,Shahdara,671,831,858,2,63819,0,874,95,808,874,4314,20566,32245,375,19293,1273,65611,83,1797,15836,2450,20459,16212,376,4331,4155,7,33,38673,20400
01-02-2023,Haryana,6,Panchkula,70,372,379,369,30116,0,532,435,515,534,2042,16402,12646,2141,15351,1051,35879,1139,1587,2027,1287,6848,3974,1947,2433,2356,4,15,5556,4957
01-07-2023,Bihar,10,Kaimur (bhabua),200,969,996,683,150449,0,1728,1308,1747,0,3379,81640,59894,24168,80651,989,158958,8,12930,18765,13919,69406,42557,23792,4682,9363,11,67,44984,44511
01-02-2023,Maharashtra,27,Solapur,496,1735,1751,1933,305476,0,3850,21,4685,4734,14305,160285,123123,84,156828,3457,326271,222,26367,7813,28268,62531,7896,83,14630,13928,20,151,19001,18997
